DKFFE,DKYE,DKLL,DKNX,DKQS,DKWC
125000,64701.955,2.708,27,191,0.9948265968632768
300000,270342.955,2.979,27,50,9.915269943419844
230000,142059.64,2.708,22,124,4.032987160957418
125000,82570.03,2.708,19,94,3.8928489712561714
105000,100977.115,2.979,15,9,0.002952968658064492
250000,24468.79,2.708,19,211,59.47720501894946
180000,153399.715,2.708,18,41,0.03834628846379928
300000,299074.075,2.708,19,1,26.886592256720178
275000,256720.34,2.979,24,29,0.028319706238107756
300000,123572.61,2.708,17,133,31.832379921135725
300000,195440.195,2.708,28,154,81.65195654556737
285000,199829.18,2.708,30,148,24.196721003827406
200000,178123.185,2.979,26,52,4.948903803160647
105000,102260.96,2.708,15,6,0.010378157530794851
165000,148332.58,2.708,25,44,0.09050535774440505
250000,190340.89,2.708,28,112,55.01876264656312
112500,110125.775,2.708,29,12,0.002908700131229125
266000,231518.42,2.708,11,20,22.18484028338571
125000,114948.935,2.708,30,46,0.11135291516256984
75000,66835.05,2.708,30,61,0.017651965463301167
175000,20416.755,2.292,3,32,252.5968900227599
85000,82308.425,2.979,25,15,0.023655750628677197
225000,169077.88,2.708,24,95,19.549986269965302
300000,177250.955,2.708,18,104,49.75678892448195
150000,94994.75,2.708,11,54,28.047703084957902
300000,264019.41,2.979,13,23,5.068088020954747
88500,86877.96,2.708,30,11,0.022983550108619966
250000,163517.48,2.708,28,153,27.299744282470783
250000,184398.96,2.708,25,105,27.336802251986228
85000,84688.755,2.708,28,2,0.0018413499201415107
150000,92730.42,2.708,29,173,13.869320481418981
275000,240993.03,2.708,19,37,64.41696191218216
150000,75436.58,2.708,28,204,2.8967463828303153
150000,109559.575,2.708,29,130,6.878137973093544
128500,109760.44,2.708,16,35,0.1821103956317529
225000,181620.505,2.708,20,60,0.014690748153952882
145000,120850.11,2.708,25,70,8.192935499799205
250000,44040.975,2.708,15,154,3.9554380745539675
125000,21192.385,2.708,15,155,11.388434522301395
181500,170034.78,2.979,19,20,0.05523337409249507
295000,247472.19,2.708,13,30,24.946994292578893
300000,295290.675,2.708,22,6,0.011899963021278381
223500,178132.21,2.708,19,59,21.685458904365078
300000,225323.74,2.979,27,114,7.794249609374674
125000,109757.29,2.708,9,15,13.41917644868954
150000,121175.32,2.708,29,97,37.515185140349786
185000,170146.355,2.708,30,46,21.766397685569245
275000,246911.095,2.979,20,34,0.056829328736057505
155000,138125.785,2.708,30,61,0.021480728610185906
71000,69938.215,2.708,30,9,0.009298914344981313
265000,241845.49,2.708,28,45,0.039525533764390275
265000,182063.025,2.979,27,138,9.105154023505747
300000,155076.33,2.979,26,186,0.5499620017944835
213500,204986.24,2.708,25,18,0.007358964794548228
205000,192135.755,2.708,21,22,7.526460103690624e-05
175000,118469.05,2.708,11,48,11.164108492826927
300000,287410.17,2.708,19,13,0.014584817865397781
125000,67182.16,2.708,28,193,20.935820168058854
75000,57377.1,2.708,13,43,0.42539287399995374
150000,120656.35,2.979,26,88,1.8143896246619988
110000,105033.85,2.708,22,17,0.03376076155109331
220000,212578.43,2.708,30,20,0.01573657972039655
280000,204073.26,2.979,10,37,14.893044425931294
350000,277253.855,2.708,29,104,12.644361484912224
138000,132865.12,2.708,30,22,0.007067349215503782
135000,87383.895,2.708,6,27,44.645473818076425
100000,82280.935,2.708,26,78,2.5720070952374954
198500,196771.01,2.708,29,5,0.0010595582134556025
150000,134090.96,2.708,19,32,6.404611081670737
300000,113642.4,2.708,10,79,26.396361035178415
300000,242209.545,2.708,6,15,14.517826340947067
300000,239693.505,2.979,24,81,2.0222760593460407
175000,113196.49,2.708,26,142,24.38412360980874
170000,128221.38,2.708,15,53,0.0819002402422484
285000,248002.2,2.708,28,65,17.236900307238102
135000,82415.36,2.979,26,157,53.323972143480205
300000,299267.74,2.708,23,1,0.00193385174497962
300000,161044.145,2.708,25,169,0.9057725677266717
220000,186083.395,2.708,28,76,23.044250659964746
170000,133874.915,2.708,30,111,2.2814308129018173
150000,130555.54,2.979,16,32,3.0478913473925786
195000,159250.11,2.708,11,28,5.209081637323834
225000,181875.0,2.708,27,88,0.17856403838959523
200000,151851.9,2.708,13,44,4.381454969203332
280000,265897.64,2.979,30,31,0.058621835079975426
317500,267758.255,2.708,29,81,8.018511304748245
195000,53890.62,2.979,29,282,15.023164068901679
147500,146770.68,2.708,30,3,0.0021477849513757974
70000,67517.135,2.708,30,21,0.004812549988855608
150000,139166.645,2.979,21,26,27.36433221169864
300000,297405.48,2.708,15,2,0.0012764334096573293
125000,81471.26,2.708,27,147,0.047488517899182625
180000,115046.86,2.708,22,118,21.32007190119475
198000,183178.985,2.708,30,43,0.07327979343244806
350000,209320.79,2.708,10,53,16.227611459064065
150000,143421.05,2.708,27,22,19.665005680639297
100000,65438.075,2.708,23,120,6.305512428298243
130500,128328.595,2.708,30,10,0.004817964829271659
125000,86978.73,2.979,23,110,4.90933653304819
105000,93772.205,2.708,30,60,0.10974354192148894
170000,152291.675,2.979,25,47,5.803458676033188
215000,201263.94,2.979,28,35,4.385085382382385
350000,210399.125,2.708,26,157,109.13442847985425
127500,123198.84,2.708,30,20,0.03196097233740147
110000,109083.335,2.979,25,4,2.9435694823478116
100000,55859.98,2.708,29,194,0.023924358261865564
300000,242670.195,2.708,23,71,89.58118928445037
