iter	Passed	Remaining
0	62	311082
1	137	342389
2	208	347143
3	280	350284
4	344	344332
5	412	342982
6	478	341129
7	549	343068
8	616	342073
9	684	341646
10	743	337411
11	811	337445
12	872	334794
13	914	325549
14	968	321889
15	1026	319829
16	1096	321344
17	1156	320106
18	1218	319450
19	1278	318413
20	1337	317115
21	1392	315026
22	1465	317026
23	1526	316518
24	1589	316380
25	1652	316218
26	1710	314991
27	1777	315675
28	1842	315774
29	1900	314865
30	1969	315737
31	2045	317542
32	2103	316657
33	2166	316410
34	2218	314761
35	2290	315765
36	2358	316346
37	2434	317940
38	2501	318158
39	2570	318801
40	2629	317994
41	2681	316518
42	2747	316679
43	2813	316876
44	2869	315973
45	2940	316634
46	3010	317302
47	3081	317919
48	3139	317170
49	3202	317088
50	3272	317519
51	3337	317607
52	3393	316725
53	3446	315715
54	3515	316073
55	3582	316269
56	3655	316996
57	3718	316873
58	3774	316085
59	3832	315516
60	3896	315515
61	3960	315411
62	4035	316241
63	4099	316178
64	4167	316376
65	4233	316465
66	4306	317038
67	4375	317347
68	4444	317651
69	4502	317076
70	4562	316739
71	4641	317688
72	4729	319184
73	4795	319207
74	4856	318925
75	4924	319039
76	5001	319781
77	5080	320577
78	5141	320259
79	5207	320290
80	5263	319644
81	5355	321197
82	5409	320467
83	5486	321085
84	5552	321056
85	5629	321643
86	5690	321334
87	5750	320961
88	5806	320419
89	5869	320229
90	5941	320527
91	6012	320768
92	6077	320686
93	6144	320668
94	6208	320533
95	6283	320998
96	6355	321251
97	6422	321255
98	6485	321058
99	6549	320934
100	6624	321318
101	6703	321915
102	6761	321473
103	6821	321145
104	6905	321940
105	6962	321440
106	7010	320593
107	7091	321228
108	7162	321372
109	7232	321524
110	7292	321200
111	7366	321481
112	7428	321280
113	7502	321549
114	7563	321269
115	7622	320920
116	7680	320533
117	7743	320366
118	7764	318488
119	7834	318607
120	7897	318434
121	7958	318204
122	8039	318759
123	8121	319340
124	8177	318913
125	8247	319022
126	8297	318359
127	8351	317892
128	8411	317622
129	8463	317061
130	8532	317120
131	8609	317522
132	8683	317753
133	8745	317587
134	8808	317449
135	8875	317415
136	8940	317342
137	9000	317092
138	9066	317079
139	9127	316847
140	9191	316748
141	9262	316885
142	9335	317076
143	9397	316888
144	9470	317111
145	9544	317331
146	9601	316995
147	9662	316780
148	9731	316824
149	9795	316726
150	9873	317050
151	9931	316768
152	10006	317006
153	10062	316644
154	10143	317068
155	10208	316999
156	10271	316841
157	10339	316853
158	10405	316826
159	10473	316809
160	10542	316876
161	10607	316770
162	10681	316968
163	10732	316480
164	10795	316332
165	10861	316299
166	10943	316698
167	11006	316561
168	11076	316637
169	11137	316435
170	11203	316376
171	11273	316442
172	11350	316712
173	11410	316474
174	11480	316543
175	11539	316286
176	11602	316151
177	11662	315935
178	11714	315498
179	11777	315378
180	11839	315218
181	11909	315269
182	11983	315437
183	12052	315454
184	12114	315297
185	12171	315023
186	12235	314922
187	12307	315026
188	12382	315198
189	12444	315029
190	12506	314882
191	12578	314996
192	12650	315086
193	12702	314681
194	12770	314686
195	12841	314755
196	12917	314947
197	12995	315165
198	13063	315175
199	13129	315116
200	13175	314568
201	13237	314432
202	13310	314535
203	13379	314545
204	13436	314293
205	13501	314213
206	13601	314940
207	13671	314961
208	13741	315006
209	13806	314910
210	13868	314766
211	13936	314747
212	14008	314823
213	14058	314413
214	14132	314538
215	14194	314386
216	14260	314321
217	14334	314427
218	14410	314600
219	14460	314197
220	14528	314162
221	14591	314035
222	14678	314440
223	14740	314278
224	14794	313966
225	14858	313879
226	14915	313615
227	14988	313701
228	15063	313827
229	15138	313969
230	15200	313809
231	15260	313621
232	15329	313626
233	15400	313661
234	15486	314008
235	15558	314077
236	15645	314421
237	15698	314104
238	15760	313952
239	15824	313843
240	15885	313683
241	15978	314151
242	16052	314246
243	16128	314382
244	16198	314373
245	16261	314250
246	16309	313844
247	16371	313701
248	16425	313404
249	16488	313276
250	16550	313142
251	16619	313127
252	16672	312832
253	16734	312688
254	16804	312700
255	16863	312502
256	16926	312375
257	17002	312494
258	17050	312106
259	17112	311979
260	17176	311877
261	17246	311880
262	17308	311759
263	17386	311906
264	17450	311806
265	17522	311849
266	17591	311837
267	17650	311655
268	17714	311547
269	17772	311350
270	17851	311510
271	17941	311869
272	18006	311790
273	18076	311787
274	18158	311994
275	18236	312139
276	18324	312435
277	18390	312366
278	18459	312356
279	18508	312006
280	18598	312331
281	18672	312398
282	18740	312368
283	18806	312293
284	18859	312005
285	18928	311984
286	18980	311687
287	19037	311473
288	19106	311459
289	19179	311499
290	19247	311469
291	19300	311195
292	19371	311204
293	19455	311427
294	19538	311621
295	19628	311936
296	19700	311956
297	19762	311820
298	19831	311799
299	19896	311706
300	19970	311764
301	20014	311358
302	20091	311454
303	20155	311356
304	20222	311288
305	20299	311391
306	20353	311137
307	20414	310993
308	20477	310868
309	20538	310723
310	20600	310597
311	20672	310619
312	20726	310372
313	20793	310320
314	20853	310159
315	20914	310005
316	20964	309703
317	21024	309554
318	21083	309378
319	21145	309251
320	21216	309259
321	21282	309187
322	21349	309144
323	21411	309017
324	21500	309275
325	21554	309039
326	21622	309003
327	21694	309016
328	21750	308800
329	21791	308380
